Algorithm,Cost,Repetition
MOEA/D,61.76371668279171,1023.64472982246
MOEA/D,61.10189491510391,1048.0289860713574
MOEA/D,62.03922439283795,993.2638278133672
MOEA/D,61.380809346834816,1079.9770377599375
MOEA/D,61.67769996144555,1051.0220291243345
MOEA/D,61.450535690784456,1065.709814698315
MOEA/D,61.56898389432741,1061.6922885059398
MOEA/D,61.05961119814923,1054.9722111841118
MOEA/D,61.38478772748601,1039.2840610990443
MOEA/D,62.316455125808716,1031.8562217324445
MOEA/D,61.768743249503046,1020.4798611727803
MOEA/D,61.710425611053196,1050.4166223084983
MOEA/D,61.430429339408875,1061.877004682491
MOEA/D,61.101561546325684,1064.1947154765858
MOEA/D,60.7744156397306,1064.6915865091344
MOEA/D,61.53315605358644,1058.2197090426705
MOEA/D,61.563867416070856,1084.3583963389433
MOEA/D,61.93376146178497,1040.738137863783
MOEA/D,61.52428910293077,1041.819975183616
MOEA/D,61.19482754336463,1040.6746434081695
MOEA/D,61.929908126592636,1026.3543205053916
MOEA/D,61.408749248670496,1043.6987915179584
MOEA/D,61.423011759053104,1071.103236830061
MOEA/D,61.42096711397171,1030.5457901163386
MOEA/D,61.78233830465211,1024.203248767174
MOEA/D,61.56379938938401,1045.942263218309
MOEA/D,61.37002031008402,1064.260269368695
MOEA/D,61.28770159184933,1052.889314109865
MOEA/D,61.385762548964955,1030.342027917623
MOEA/D,61.07898697257042,1069.2487269215567
