Algorithm,Cost,Repetition
MOEA/D,61.28906833583658,1076.7656719879162
MOEA/D,61.286168190836904,1043.432601704015
MOEA/D,61.651007145643234,1015.3520597069709
MOEA/D,61.30323657751083,1048.4564943480007
MOEA/D,61.48769631385803,1038.2378575938837
MOEA/D,61.14630790620014,1036.0753217352433
MOEA/D,60.986854013274694,1038.242645731704
MOEA/D,61.121656231582165,1045.607733284525
MOEA/D,60.94044618474113,1051.866237850286
MOEA/D,61.51205407248603,1010.781473084528
MOEA/D,61.23955107976993,1073.29239752373
MOEA/D,61.534858310764484,1044.6812379939508
MOEA/D,61.10808585832516,1034.4179761976202
MOEA/D,61.75156360202365,1031.1006560521398
MOEA/D,61.36234740299337,1008.6722737908732
MOEA/D,61.71670484542847,1054.2251205567864
MOEA/D,61.33827804143612,1048.2686614242305
MOEA/D,61.195668280124664,1066.3246332690476
MOEA/D,61.16047020185562,1040.7990625799678
MOEA/D,61.21238459701891,1054.558057676342
MOEA/D,61.35743808448315,1031.5379095037513
MOEA/D,61.34439994394779,1054.893973061666
MOEA/D,61.39546423608606,1034.9132280732128
MOEA/D,61.43713653788847,1026.3085959279958
MOEA/D,61.035771658420565,1061.6351712793867
MOEA/D,61.68731591105461,1033.5077109749318
MOEA/D,61.21537121012807,1024.43502888356
MOEA/D,61.556603835976645,1032.4505222119355
MOEA/D,61.86506675868421,1030.9995743506756
MOEA/D,61.22211428101246,1019.7923907954955
