Algorithm,Cost,Repetition
MOEA/D,20.7438724078238,294.7797475604461
MOEA/D,20.75680340891299,284.12828948545064
MOEA/D,20.659569744269053,292.63785238726416
MOEA/D,20.81804463863373,287.20299740893785
MOEA/D,20.81149579048157,287.9283506624095
MOEA/D,20.691292420677517,289.704226279546
MOEA/D,20.733662161827088,298.0346453546453
MOEA/D,20.728978049187432,291.20398322499165
MOEA/D,20.784806146621705,292.3380824926707
MOEA/D,20.736429595284992,289.5403626034173
MOEA/D,20.652367688715458,292.1637370731121
MOEA/D,20.78462930236544,288.68505565396316
MOEA/D,20.744468172391255,295.68187643355714
MOEA/D,20.73481627650883,290.34927042267196
MOEA/D,20.64922592753456,293.73988387895946
MOEA/D,20.80313298632117,288.1574085660591
MOEA/D,20.71187050541242,288.87815369815377
MOEA/D,20.713965700732338,300.1950599690795
MOEA/D,20.653988829025856,296.22513725590653
MOEA/D,20.791159140027087,284.0500078423992
MOEA/D,20.799677626954185,291.30034290328405
MOEA/D,20.708024490447272,292.5910728860308
MOEA/D,20.684575935204823,290.3008342420107
MOEA/D,20.667445722967386,295.64277468854675
MOEA/D,20.755844998927344,287.67659011545567
MOEA/D,20.707269276181858,286.15162521302227
MOEA/D,20.721032174428306,294.5949246287482
MOEA/D,20.665097925662995,294.7745967675255
MOEA/D,20.739341230768908,292.19673177699497
MOEA/D,20.774404274565832,287.2663177275572
