Algorithm,Cost,Repetition
ILS-MOEA/D,60.15689837932587,981.8583668720228
ILS-MOEA/D,60.11889839172363,991.1254169929534
ILS-MOEA/D,60.1678871512413,935.9308895741003
ILS-MOEA/D,60.1678871512413,916.8088173188423
ILS-MOEA/D,60.07689833641052,969.2985276373989
ILS-MOEA/D,60.21496832370758,969.4405835279291
ILS-MOEA/D,60.29597008228302,904.6648683686831
ILS-MOEA/D,60.32377505302429,989.2888156283104
ILS-MOEA/D,60.15689837932587,983.4138825213096
ILS-MOEA/D,60.28498834371567,994.1340113198836
ILS-MOEA/D,59.7417813539505,995.0969449355331
ILS-MOEA/D,60.07689833641052,981.7507777350911
ILS-MOEA/D,60.07689833641052,985.2536902865165
ILS-MOEA/D,60.480413138866425,966.5845668645296
ILS-MOEA/D,60.20585036277771,986.0170626118185
ILS-MOEA/D,60.480413138866425,983.5674924472338
ILS-MOEA/D,60.07689833641052,969.2985276373989
ILS-MOEA/D,60.22836625576019,922.0847726899935
ILS-MOEA/D,60.231591403484344,983.1574112060916
ILS-MOEA/D,60.157814264297485,970.1342520034999
ILS-MOEA/D,60.480413138866425,1008.0971055836825
ILS-MOEA/D,60.29597008228302,904.6648683686831
ILS-MOEA/D,60.07689833641052,969.2985276373989
ILS-MOEA/D,60.1678871512413,925.6735132889361
ILS-MOEA/D,60.3315914273262,979.2902180675495
ILS-MOEA/D,60.29597008228302,904.6648683686831
ILS-MOEA/D,60.033244132995605,915.9735055255217
ILS-MOEA/D,60.173241436481476,999.3394633967505
ILS-MOEA/D,60.480413138866425,1000.7880018777628
ILS-MOEA/D,60.05575346946716,982.1838433173169
