Algorithm,Cost,Repetition
MOEA/D,41.04337612252969,655.6671578574424
MOEA/D,40.76875722408295,649.6973781808044
MOEA/D,40.72730258355538,681.2742258773104
MOEA/D,41.41347658634186,656.5145165019826
MOEA/D,41.16455500214188,662.1576313918182
MOEA/D,41.04194287657738,652.0347800507304
MOEA/D,41.106043038268886,662.7814510608647
MOEA/D,41.20257129520178,658.2347178633138
MOEA/D,40.934318866994644,689.0668501862941
MOEA/D,41.16626186617489,646.9587352985351
MOEA/D,41.10422827800115,667.6315657707803
MOEA/D,40.94910812118779,657.6769522179333
MOEA/D,41.10819495966037,654.1274084824868
MOEA/D,40.81842262744904,671.7094873639704
MOEA/D,41.086080349627,652.0919964310187
MOEA/D,41.3039221747054,650.0751863975627
MOEA/D,41.052951075528796,655.0805601599387
MOEA/D,41.08943736884329,657.3849981216833
MOEA/D,40.8959532469511,661.8636980414155
MOEA/D,40.82181479151432,666.8880386396414
MOEA/D,41.0880957653648,669.8015273967271
MOEA/D,40.79233740568161,675.985816536948
MOEA/D,41.26194956650337,656.0120749778205
MOEA/D,41.33287599778944,658.1299660566556
MOEA/D,41.344484429610404,645.9713374799794
MOEA/D,41.24399905403455,643.5045124715449
MOEA/D,41.215193650722505,659.1712460578873
MOEA/D,41.40416089008595,640.2002744620509
MOEA/D,41.12032593011856,667.1368252778125
MOEA/D,41.05890264648657,665.441895767477
