Algorithm,Cost,Repetition
MA,59.7212,1147.39
MA,59.7212,1210.57
MA,59.7212,1256.4
MA,59.7212,1265.74
MA,59.7212,1267.16
MA,59.7212,1215.15
MA,59.7212,1237.96
MA,59.7212,1243.76
MA,59.7212,1287.87
MA,59.9409,1272.98
MA,59.7212,1272.28
MA,59.7212,1269.98
MA,59.7212,1228.33
MA,59.7212,1268.22
MA,59.7212,1227.03
MA,59.7212,1249.85
MA,59.7876,1257.76
MA,59.7876,1250.54
MA,59.7212,1245.4
MA,59.8072,1312.76
MA,59.7212,1277.47
MA,59.7212,1235.17
MA,59.7212,1287.73
MA,59.7212,1264.24
MA,59.7212,1270.58
MA,59.7876,1280.76
MA,59.7212,1143.82
MA,59.7212,1223.05
MA,59.7212,1211.27
MA,59.7212,1236.89
