Algorithm,Cost,Repetition
MA,20.2646,319.772
MA,20.2646,341.179
MA,20.2646,336.936
MA,20.2646,346.845
MA,20.2646,346.418
MA,20.2646,374.595
MA,20.2646,359.256
MA,20.2646,342.641
MA,20.2646,314.943
MA,20.2646,355.337
MA,20.2646,340.389
MA,20.2646,343.614
MA,20.2646,337.263
MA,20.2646,338.251
MA,20.2646,320.05
MA,20.2646,350.786
MA,20.2646,329.952
MA,20.2646,350.411
MA,20.2646,342.89
MA,20.2646,341.361
MA,20.2646,376.298
MA,20.2646,343.363
MA,20.2646,354.701
MA,20.2646,354.298
MA,20.2646,335.02
MA,20.2646,365.425
MA,20.2646,344.012
MA,20.2646,355.528
MA,20.2646,359.384
MA,20.2646,361.326
