0 2 7 1 2 7 1 2 7 1 2 7 5 31 3 0 2 7 17 9 2 1 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 17 9 2 0 2 7 5 31 3 1 2 7 0 2 7 0 2 7 0 2 7 0 2 7 13 6 3 17 18 2 1 2 7 17 9 2 1 2 7 0 2 4 12 16 2 12 16 2 0 2 4 5 31 3 0 2 7 6 2 7 12 16 2 40.7441 852.89
1 2 7 1 2 7 0 2 7 0 2 7 5 31 3 0 2 7 17 9 2 1 2 7 0 2 7 0 2 7 1 2 7 1 2 7 0 2 7 0 2 7 0 2 4 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 17 9 2 0 2 7 5 31 3 1 2 7 1 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 13 6 3 5 31 3 0 2 11 1 2 7 0 2 7 1 2 7 17 18 2 17 18 2 16 6 2 40.0671 920.81
5 31 3 1 2 7 0 2 4 0 2 7 5 30 3 0 2 7 1 2 7 17 9 2 0 2 7 1 2 7 0 2 3 1 2 7 1 2 4 0 2 11 17 18 2 0 2 7 0 2 7 0 2 7 0 2 7 0 2 7 0 2 4 0 2 7 0 2 7 17 9 2 1 2 7 5 31 3 0 2 7 8 18 2 12 16 2 1 2 7 1 2 7 16 30 2 1 2 4 1 2 7 1 2 7 1 2 3 0 2 7 0 2 7 0 2 7 1 2 7 40.7372 884.8
1 2 7 0 2 7 0 2 7 0 2 4 0 2 4 0 2 7 5 31 3 0 2 7 0 2 7 17 9 2 0 2 7 0 2 7 1 2 7 1 2 7 0 2 7 1 2 7 0 2 7 0 2 4 0 2 7 0 2 7 17 18 2 0 2 7 1 2 7 1 2 7 0 2 7 1 2 7 0 2 7 5 30 3 0 2 4 1 2 7 5 31 3 17 9 2 5 30 3 1 2 7 16 15 2 0 2 7 16 31 2 0 2 4 1 2 7 0 2 7 40.5555 901.878
1 2 7 0 2 4 0 2 4 0 2 3 5 31 3 0 2 7 17 9 2 1 2 7 0 2 4 0 2 7 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 1 2 7 1 2 7 1 2 4 0 2 7 0 2 3 17 9 2 0 2 7 5 31 3 1 2 4 1 2 7 0 2 7 0 2 7 0 2 7 1 2 3 0 2 7 1 2 7 17 18 2 0 2 7 16 6 2 1 2 7 5 31 3 0 2 7 0 2 3 16 6 2 0 2 7 40.4459 896.272
5 31 3 1 2 7 1 2 7 0 2 4 17 18 2 0 2 7 0 2 7 1 2 7 0 2 4 1 2 7 0 2 7 6 2 7 0 2 7 1 2 7 1 2 7 1 2 7 0 2 7 1 2 7 12 16 2 5 31 3 0 2 7 0 2 7 13 6 3 5 30 3 17 9 2 12 16 2 0 2 7 12 16 2 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 0 2 7 17 9 2 0 2 7 1 2 7 13 6 3 17 9 2 40.2816 834.92
5 31 3 0 2 7 1 2 7 0 2 7 5 30 3 1 2 4 0 2 7 17 9 2 0 2 4 1 2 7 1 2 7 1 2 7 0 2 7 17 18 2 0 2 7 0 2 7 1 2 7 1 2 4 0 2 7 1 2 7 0 2 4 0 2 7 17 9 2 0 2 7 5 31 3 0 2 7 0 2 7 1 2 7 0 2 7 1 2 7 1 2 3 0 2 7 0 2 7 0 2 7 1 2 4 0 2 7 13 6 3 17 9 2 5 30 3 16 6 2 40.1484 868.812
0 2 7 0 2 7 0 2 7 0 2 7 0 2 7 1 2 7 1 2 7 1 2 7 5 31 3 0 2 4 0 2 7 17 9 2 5 31 3 1 2 7 1 2 7 0 2 4 1 2 7 0 2 7 0 2 4 0 2 7 0 2 7 0 2 7 1 2 7 0 2 7 1 2 7 0 2 7 16 24 2 17 18 2 1 2 7 17 18 2 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 0 2 7 17 9 2 5 30 3 13 6 3 5 30 3 40.1302 926.04
0 2 7 1 2 7 1 2 7 1 2 7 5 31 3 0 2 7 17 9 2 1 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 17 9 2 0 2 7 5 31 3 1 2 7 0 2 7 0 2 7 0 2 7 0 2 7 13 6 3 0 2 7 17 18 2 1 2 7 1 2 7 1 2 7 0 2 4 1 2 11 16 6 2 17 9 2 5 31 3 0 2 7 0 2 7 40.0671 883.134
1 2 7 1 2 7 0 2 7 0 2 7 5 31 3 0 2 7 17 9 2 1 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 17 9 2 0 2 7 5 31 3 1 2 4 1 2 7 0 2 7 1 2 11 1 2 7 0 2 7 0 2 7 0 2 7 13 6 3 5 31 3 0 2 7 17 18 2 16 6 2 0 2 7 1 2 7 0 2 7 1 2 7 17 18 2 40.0671 895.513
