0 2 7 5 31 3 0 2 7 5 30 3 1 2 7 0 2 7 1 2 7 0 2 7 1 2 7 12 16 2 0 2 7 1 2 4 17 9 2 0 2 7 0 2 3 16 6 2 0 2 12 17 9 2 12 16 2 0 2 7 20.7318 358.548
12 16 2 5 31 3 0 2 7 0 2 7 1 2 7 6 2 7 0 2 7 0 2 7 1 2 7 5 30 3 0 2 7 16 30 2 0 2 7 1 2 11 13 6 3 12 16 2 0 2 3 0 2 4 17 9 2 12 16 2 20.5475 360.971
0 2 7 5 31 3 0 2 7 0 2 3 5 30 3 1 2 7 0 2 7 1 2 7 0 2 7 16 6 2 1 2 7 12 16 2 0 2 12 1 2 7 8 9 2 0 2 7 0 2 3 1 2 4 17 9 2 0 2 7 20.7693 365.627
1 2 3 5 30 3 1 2 4 5 30 3 0 2 7 0 2 4 0 2 7 0 2 7 12 16 2 1 2 7 1 2 7 12 16 2 0 2 7 13 6 3 12 16 2 0 2 7 17 9 2 0 2 7 16 31 2 0 2 7 20.4516 358.962
12 16 2 0 2 7 13 6 3 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 5 30 3 1 2 7 1 2 7 1 2 7 17 18 2 12 16 2 0 2 4 0 2 4 0 2 3 16 31 2 5 30 3 12 16 2 20.4516 379.648
12 16 2 5 31 3 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 0 2 7 5 30 3 0 2 7 13 6 3 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 1 2 7 17 18 2 17 18 2 20.2646 452.58
12 16 2 5 31 3 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 0 2 7 5 30 3 6 2 7 0 2 7 13 6 3 12 16 2 0 2 4 1 2 4 1 2 7 1 2 7 17 18 2 17 18 2 20.3487 402.324
6 2 7 0 2 7 0 2 7 0 2 7 17 9 2 0 2 7 0 2 7 13 6 3 0 2 7 12 16 2 5 30 3 5 31 3 0 2 7 1 2 4 1 2 4 1 2 7 12 16 2 17 9 2 1 2 7 0 2 7 20.3487 373.534
12 16 2 5 31 3 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 0 2 7 5 30 3 0 2 7 13 6 3 1 2 7 1 2 7 1 2 7 0 2 7 0 2 7 1 2 7 17 18 2 17 9 2 20.2646 428.263
1 2 7 0 2 7 0 2 7 1 2 7 0 2 7 5 31 3 0 2 7 13 6 3 0 2 7 12 16 2 5 30 3 0 2 7 0 2 7 0 2 7 17 9 2 17 9 2 1 2 7 1 2 7 1 2 7 0 2 7 20.2646 411.097
