0 2 7 5 31 3 6 2 7 0 2 7 1 2 7 5 30 3 1 2 7 0 2 7 0 2 7 0 2 7 0 2 4 0 2 7 13 6 3 12 16 2 17 9 2 17 9 2 1 2 7 12 16 2 0 2 4 1 2 7 20.3487 380.636
0 2 7 12 16 2 1 2 7 1 2 7 0 2 7 0 2 7 5 30 3 17 18 2 0 2 7 17 9 2 0 2 7 0 2 7 13 6 3 12 16 2 0 2 4 12 16 2 13 6 3 1 2 11 1 2 11 12 16 2 20.3047 360.764
0 2 7 5 30 3 0 2 7 5 31 3 0 2 7 0 2 7 0 2 7 1 2 8 0 2 7 1 2 7 5 31 3 1 2 8 6 2 7 0 2 7 0 2 7 1 2 7 17 9 2 0 2 7 0 2 7 16 6 2 20.8508 403.389
5 31 3 1 2 4 0 2 7 0 2 7 0 2 7 5 30 3 0 2 7 0 2 7 1 2 7 12 16 2 0 2 7 13 6 3 17 9 2 0 2 4 1 2 7 0 2 7 6 2 7 1 2 7 17 18 2 12 16 2 20.3487 367.317
0 2 7 12 16 2 1 2 7 0 2 7 0 2 7 5 30 3 17 18 2 0 2 7 0 2 7 0 2 7 13 6 3 12 16 2 12 16 2 13 6 3 1 2 11 1 2 11 12 16 2 0 2 7 1 2 4 17 18 2 20.3047 366.591
0 2 4 17 18 2 1 2 11 1 2 7 17 18 2 0 2 3 0 2 4 1 2 7 5 30 3 0 2 12 1 2 7 13 6 3 0 2 7 12 16 2 12 16 2 12 16 2 12 16 2 13 6 3 0 2 7 0 2 7 20.3981 393.201
0 2 7 5 31 3 1 2 7 0 2 7 1 2 7 5 30 3 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 13 6 3 0 2 7 1 2 7 12 16 2 17 18 2 17 18 2 20.2646 428.197
12 16 2 5 31 3 12 16 2 0 2 7 1 2 11 0 2 7 5 30 3 17 9 2 0 2 3 0 2 7 16 18 12 0 2 11 1 2 4 0 2 4 1 2 3 6 2 7 0 2 11 0 2 11 1 2 3 0 2 3 21.5901 383.167
0 2 7 5 31 3 1 2 7 0 2 7 1 2 7 5 30 3 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 13 6 3 0 2 7 1 2 7 12 16 2 17 9 2 17 9 2 20.2646 427.693
0 2 7 5 31 3 1 2 7 0 2 7 1 2 7 5 30 3 1 2 7 0 2 7 0 2 7 0 2 7 1 2 7 0 2 7 0 2 7 0 2 7 13 6 3 0 2 7 1 2 7 12 16 2 17 18 2 17 9 2 20.2646 403.882
